,name,url,price_rate,price_rate_type,total_price,room_and_property_type,min_nights,max_nights,latitude,longitude,monthly_price_factor,weekly_price_factor,room_type,person_capacity
20,8-Convenient Private Studio minutes from Achrafieh,https://www.airbnb.com/rooms/39376634,515,monthly,581,Entire apartment,2,,33.893,35.552,0.78,0.95,entire_home,2
21,Cedars Apartments,https://www.airbnb.com/rooms/5286808,522,monthly,586,Entire apartment,2,,33.90192,35.52275,0.6,0.7,entire_home,2
22,"Affordable, Comfortable and Beautiful studio.",https://www.airbnb.com/rooms/27656021,536,monthly,593,Entire apartment,2,,33.89629,35.52622,0.94,0.95,entire_home,1
23,Student studio next to USJ min to Downtown Beirut,https://www.airbnb.com/rooms/37991636,536,monthly,626,Entire apartment,1,,33.8935,35.5118,0.51,0.89559,entire_home,1
24,Hôtel auberge,https://www.airbnb.com/rooms/42774939,540,monthly,604,Entire apartment,2,,33.95081,35.59361,0.9,1.0,entire_home,2
25,"Warm, Cosy and Private studio in Mansourieh.",https://www.airbnb.com/rooms/42062824,548,monthly,606,Entire apartment,7,,33.85234,35.56313,0.73,1.0,entire_home,3
26,A wonderful stay in the heart of old Geitawi !,https://www.airbnb.com/rooms/40102605,548,monthly,606,Entire apartment,2,,33.89047,35.53138,0.87,1.0,entire_home,2
27,"amazing view,sunny,and safe place",https://www.airbnb.com/rooms/11437670,559,monthly,618,Entire apartment,2,,33.89676,35.52776,0.98,0.98,entire_home,1
28,"studios in Achrafieh, mar Mikhael",https://www.airbnb.com/rooms/3689800,567,monthly,636,Entire apartment,2,,33.90397,35.52465,0.7,0.9,entire_home,1
29,The Lebanese experience,https://www.airbnb.com/rooms/42631361,585,monthly,664,Entire apartment,1,,33.89493,35.53119,0.65,0.85,entire_home,5
30,120m2 Appartment,https://www.airbnb.com/rooms/42251008,585,monthly,680,Entire apartment,2,,33.89496,35.56169,0.65,0.8,entire_home,5
31,,https://www.airbnb.com/rooms/20906815,594,monthly,685,Entire bungalow,2,,33.88241,35.57909,0.6,0.85,entire_home,3
32,Fully private furnished studio,https://www.airbnb.com/rooms/36788580,594,monthly,657,Entire apartment,7,,33.85279,35.56408,0.9,0.0,entire_home,2
33,Cozy Ashrafieh,https://www.airbnb.com/rooms/34445312,594,monthly,690,Entire apartment,3,,33.88949,35.51329,0.66,0.95,entire_home,2
34,,https://www.airbnb.com/rooms/23750246,595,monthly,686,Entire townhouse,2,,33.88322,35.57968,0.64,0.85,entire_home,3
35,"Studio renovated in Rawda-Dekwaneh, 1 night stay.",https://www.airbnb.com/rooms/41562285,597,monthly,660,Entire apartment,1,,33.87732,35.55462,0.51,0.8,entire_home,3
36,A relaxing stay in the heart of old geitawi !,https://www.airbnb.com/rooms/42417089,600,monthly,664,Entire apartment,2,,33.89487,35.52993,1.0,1.0,entire_home,2
37,Khoury Building furnished apartments,https://www.airbnb.com/rooms/42355387,600,monthly,664,Entire apartment,1,,33.95402,35.62308,0.5,1.0,entire_home,2
38,"Furnished apartment in Zouk Mosbeh, Jounieh",https://www.airbnb.com/rooms/11903983,600,monthly,697,Entire apartment,2,,33.968,35.607,0.8,1.0,entire_home,3
0,A relaxing stay in the heart of old geitawi !,https://www.airbnb.com/rooms/42417089,600,monthly,664,Entire apartment,2,,33.89487,35.52993,1.0,1.0,entire_home,2
1,"Furnished apartment in Zouk Mosbeh, Jounieh",https://www.airbnb.com/rooms/11903983,600,monthly,697,Entire apartment,2,,33.968,35.607,0.8,1.0,entire_home,3
2,Khoury Building furnished apartments,https://www.airbnb.com/rooms/42355387,600,monthly,664,Entire apartment,1,,33.95402,35.62308,0.5,1.0,entire_home,2
3,Furnished apartment in Ain el Remmaneh,https://www.airbnb.com/rooms/41715241,603,monthly,667,Entire apartment,30,,33.86359,35.52181,0.67,1.0,entire_home,6
4,French Quartier Studio,https://www.airbnb.com/rooms/43068907,605,monthly,691,Entire condominium,2,,33.88309,35.51668,0.65,0.8,entire_home,2
5,Cosy Studio in Beirut City,https://www.airbnb.com/rooms/26909474,609,monthly,701,Entire apartment,3,,33.89806,35.53599,0.7,0.88,entire_home,3
6,"Apartment, Living Rm, Kitchen, 1 Bedrooms & 1 Bath",https://www.airbnb.com/rooms/41875033,612,monthly,677,Entire apartment,1,,33.869,35.515,0.51,0.8,entire_home,3
7,"apartment rent, with nice view",https://www.airbnb.com/rooms/39807724,612,monthly,677,Entire apartment,2,,33.89777,35.47654,0.51,0.79,entire_home,5
8,Affordable Spacy Apartment with Panoramic Sea View,https://www.airbnb.com/rooms/28679051,612,monthly,677,Entire apartment,3,,33.95145,35.64237,0.51,0.79,entire_home,6
9,Small apartment/studio in Antoura,https://www.airbnb.com/rooms/35488795,612,monthly,677,Entire apartment,1,,33.95761,35.63445,0.51,0.9,entire_home,4
10,Mar Mikhael Studio Cute & Cozy,https://www.airbnb.com/rooms/22427200,619,monthly,718,Entire serviced apartment,5,,33.89669,35.52636,0.61,0.9,entire_home,1
11,Cozy and Warm apartment.,https://www.airbnb.com/rooms/39165605,624,monthly,690,Entire condominium,7,,33.8534,35.563,0.8,0.0,entire_home,4
12,French Quartier 1 Bedroom Flat,https://www.airbnb.com/rooms/43069307,630,monthly,719,Entire condominium,2,,33.88321,35.51719,0.6,0.8,entire_home,4
13,Gorgeous sunny & comfy place with excellent views!,https://www.airbnb.com/rooms/42445327,630,monthly,697,Entire apartment,7,,33.87497,35.52007,0.35,0.7,entire_home,5
14,Cozy appartment in a quiet area,https://www.airbnb.com/rooms/39334834,630,monthly,719,Entire apartment,1,,33.97608,35.61252,0.7,0.85,entire_home,2
15,Studio in Ashrafieh - near St George Hospital,https://www.airbnb.com/rooms/15081096,630,monthly,697,Entire apartment,2,,33.89461,35.52529,0.6,0.88,entire_home,2
16,Bacha Building Studio,https://www.airbnb.com/rooms/39558269,630,monthly,697,Entire apartment,30,,33.84928,35.58451,0.0,0.0,entire_home,2
17,Spacious Private Studio minutes from Achrafieh,https://www.airbnb.com/rooms/40600118,630,monthly,708,Entire apartment,2,,33.89353,35.5523,0.0,1.0,entire_home,2
18,Abla Residence - 304,https://www.airbnb.com/rooms/40812000,630,monthly,697,Entire apartment,1,,33.8979,35.4767,0.7,0.9,entire_home,2
19,Cozy apartment in a gated community + great view,https://www.airbnb.com/rooms/41289038,638,monthly,706,Entire apartment,28,,33.84853,35.57852,0.85,1.0,entire_home,4
20,Bel appartement moderne dans quartier traditionnel,https://www.airbnb.com/rooms/41357538,646,monthly,751,Entire apartment,3,,33.89307,35.5023,0.65,0.79,entire_home,1
21,Bijans place,https://www.airbnb.com/rooms/43562251,654,monthly,723,Entire house,1,,33.89432,35.50086,0.51,0.79,entire_home,4
22,Modern Studio w Terrace in the heart of Achrafieh,https://www.airbnb.com/rooms/40277620,660,monthly,750,Entire apartment,1,,33.89248,35.52938,0.0,0.0,entire_home,2
23,Cozy Lodge,https://www.airbnb.com/rooms/32127450,660,monthly,752,Entire apartment,10,,33.89592,35.60848,0.55,0.88,entire_home,1
24,2-Convenient Private Studio minutes from Achrafieh,https://www.airbnb.com/rooms/39069103,660,monthly,741,Entire apartment,1,,33.89279,35.55097,0.0,0.0,entire_home,2
25,Cozy Room 2 in the Heart of Hamra,https://www.airbnb.com/rooms/18603878,662,monthly,732,Entire serviced apartment,2,,33.896,35.481,0.69,0.95,entire_home,2
