,name,url,price_rate,price_rate_type,total_price,room_and_property_type,min_nights,max_nights,latitude,longitude,monthly_price_factor,weekly_price_factor,room_type,person_capacity
103,Penthouse Sagrada Familia SPB532388,https://www.airbnb.com/rooms/11197896,2149,monthly,2221,Entire apartment,1,,41.405,2.171,0.0,0.0,entire_home,5
104,1 bedroom private rooftop terrace with Free Wi-Fi,https://www.airbnb.com/rooms/22398599,2149,monthly,2233,Entire apartment,2,,41.389,2.175,1.0,0.95,entire_home,4
105,★ CASA MIRO by Cocoon Barcelona,https://www.airbnb.com/rooms/39349081,2149,monthly,2426,Entire apartment,3,,41.37636,2.1604,0.0,0.0,entire_home,4
106,The Unique Experience of Living in a SailBoat,https://www.airbnb.com/rooms/29606413,2152,monthly,2429,Boat,2,,41.43378,2.23995,0.0,0.95,entire_home,4
107,Cozy 1BD in Eixample * Balcony*,https://www.airbnb.com/rooms/42697259,2157,monthly,2223,Entire apartment,2,,41.38076,2.15837,0.9,1.0,entire_home,4
108,,https://www.airbnb.com/rooms/29381791,2157,monthly,2417,Entire apartment,1,,41.37236,2.15862,0.85,0.9,entire_home,2
109,Precioso Loft ideal parejas en el centro de Bcn,https://www.airbnb.com/rooms/33659923,2159,monthly,2388,Entire apartment,2,,41.38903,2.14978,0.9,0.93,entire_home,2
110,Apartment for 4 people in Terrassa (Barcelona),https://www.airbnb.com/rooms/17172446,2159,monthly,2407,Entire apartment,3,,41.55565,2.00876,0.9,0.92,entire_home,4
111,SUPER STUDIO IN THE HEART OF TRENDY GRACIA,https://www.airbnb.com/rooms/4914558,2159,monthly,2461,Entire apartment,2,,41.39967,2.16025,0.8,1.0,entire_home,4
112,Cool loft style apartment in Sagrada Familia,https://www.airbnb.com/rooms/588268,2159,monthly,2437,Entire loft,1,,41.403,2.177,0.8,0.9,entire_home,2
113,Central 2 Bedroom Apartment by Sagrada Familia,https://www.airbnb.com/rooms/7742710,2165,monthly,2450,Entire apartment,2,,41.40427,2.17966,0.5,1.0,entire_home,4
114,Charming 3 Bed Apartment in the City Center,https://www.airbnb.com/rooms/5907982,2165,monthly,2592,Entire apartment,2,,41.3774,2.1529,0.5,0.9,entire_home,6
115,"BORRELL, Sant Antoni market",https://www.airbnb.com/rooms/19536702,2165,monthly,2221,Entire apartment,1,,41.3786,2.16291,0.6,0.97,entire_home,6
116,AB Casa Saltor - Ref. GI2163,https://www.airbnb.com/rooms/19978181,2165,monthly,2530,Entire apartment,4,,41.38257,2.16102,0.0,0.0,entire_home,6
117,Cute flat near the Port and Ramblas.,https://www.airbnb.com/rooms/29309442,2165,monthly,2469,Entire apartment,4,,41.37368,2.16584,0.5,0.71,entire_home,5
