,name,url,price_rate,price_rate_type,total_price,room_and_property_type,min_nights,max_nights,latitude,longitude,monthly_price_factor,weekly_price_factor,room_type,person_capacity
37,Dubrovnik-great location with big terrace,https://www.airbnb.com/rooms/18733354,1599,monthly,1800,Entire apartment,3,,42.651,18.08,0.8,0.9,entire_home,4
38,"Modern, CENTRAL SEAVIEW Studio SKY+balcony",https://www.airbnb.com/rooms/313715,1550,monthly,1715,Entire apartment,2,,42.653,18.091,0.5,0.65,entire_home,3
39,Apartment MINT,https://www.airbnb.com/rooms/26895413,1467,monthly,1623,Entire apartment,1,,42.658,18.09,0.7,0.8,entire_home,3
0,Leo's Charming Studio V,https://www.airbnb.com/rooms/42471163,1604,monthly,1774,Entire apartment,2,,42.66292,18.07812,0.8,0.93,entire_home,2
1,4M Dubrovnik,https://www.airbnb.com/rooms/39574686,1616,monthly,1788,Entire apartment,2,,42.6538,18.07435,0.8,0.95,entire_home,2
2,- Peaceful  hideaway -,https://www.airbnb.com/rooms/20501528,1619,monthly,1805,Entire house,2,,42.65644,18.07166,0.82,0.82,entire_home,4
3,Studio Apt with Balcony in Lapad / FREE Parking,https://www.airbnb.com/rooms/20082634,1619,monthly,1791,Entire apartment,2,,42.661,18.078,0.0,0.9,entire_home,2
4,Fany Apartment,https://www.airbnb.com/rooms/6826637,1624,monthly,1796,Entire apartment,3,,42.6525,18.07958,0.75,0.9,entire_home,4
5,"Apartment KaBa A2 crveni dolje(2) Mlini, Riviera Dubrovnik",https://www.airbnb.com/rooms/35561116,1630,monthly,1803,Entire apartment,2,,42.62474,18.20345,0.0,0.0,entire_home,2
6,Apartman ima privatnost cijeli kat kucekuce,https://www.airbnb.com/rooms/43213961,1631,monthly,1804,Entire apartment,2,,42.65082,18.08563,0.75,0.85,entire_home,6
7,Nice and Sunny Condo in Cavtat,https://www.airbnb.com/rooms/320627,1631,monthly,1804,Entire guest suite,2,,42.58139,18.22796,1.0,1.0,entire_home,3
8,Double room 2 sea view & balcony,https://www.airbnb.com/rooms/33503193,1633,monthly,1806,Entire house,1,,42.62464,18.20023,0.0,0.0,entire_home,2
9,Double room 1 sea view & balcony,https://www.airbnb.com/rooms/33501377,1633,monthly,1806,Entire house,1,,42.62518,18.19831,0.0,0.0,entire_home,2
10,Marta Apartmens/no 4 blue dreams,https://www.airbnb.com/rooms/13244750,1649,monthly,1824,Entire guest suite,2,,42.62432,18.19361,0.9,0.9,entire_home,2
11,Lučia,https://www.airbnb.com/rooms/13270790,1649,monthly,1824,Entire apartment,2,,42.57779,18.22166,0.9,0.95,entire_home,3
12,Lukre mala 2,https://www.airbnb.com/rooms/36835225,1651,monthly,1826,Entire apartment,4,,42.65399,18.07811,0.8,0.9,entire_home,3
13,Studio for 2 not far from town,https://www.airbnb.com/rooms/11541036,1659,monthly,1835,Entire apartment,3,,42.579,18.221,0.0,0.0,entire_home,2
14,Dubrovnik Summer Industry Apartment,https://www.airbnb.com/rooms/28357752,1665,monthly,1842,Entire apartment,1,,42.652,18.08277,0.84,0.92,entire_home,2
15,Cosy Studio Apartment Margarita ,https://www.airbnb.com/rooms/3548747,1666,monthly,1843,Entire house,3,,42.67158,18.12172,1.0,1.0,entire_home,2
16,Amazing Apartment,https://www.airbnb.com/rooms/30370170,1666,monthly,1843,Entire apartment,3,,42.58003,18.22772,0.0,0.0,entire_home,2
17,MLINI ESCAPE,https://www.airbnb.com/rooms/18711641,1666,monthly,1862,Entire guest suite,10,,42.62208,18.20685,0.0,0.0,entire_home,2
18,Green Oasis,https://www.airbnb.com/rooms/31773996,1666,monthly,1843,Entire guest suite,3,,42.68934,18.03912,0.0,0.0,entire_home,4
19,Apartments Dadic Cavtat Ap #1 ,https://www.airbnb.com/rooms/1374329,1666,monthly,1843,Entire apartment,3,,42.57946,18.22316,1.0,1.0,entire_home,2
