,venue,lat,lon,address,category
20731,Gradska Plaza Cavtat,42.583370208740234,18.215656280517578,,Beach
20732,Cavtat Cemetery,42.58570098876953,18.214946746826172,,Cemetery
20733,Rada Rilassata,42.58576583862305,18.219961166381836,,Beach
20734,old fkk beach of hotel astarea,42.61559,18.212622,,Nudist Beach
20735,Hotelpool - Hotel Croatia,42.579002037559626,18.212703466415405,Frankopanska 10,Hotel Pool
20736,Stars beneath stars/zvijezde pod zvijezdama,42.57881,18.213658,Frankopanska 10,Rest Area
20737,Vrt ispred zgrade,42.6231451034546,18.1922750473022,Vukovarska 40,Garden
20738,Konova Galija,42.58350068801941,18.214945998857292,,Mediterranean Restaurant
20739,Konobo Toranj,42.58112,18.21726,Obala Dr,Mediterranean Restaurant
20740,Gym - Hotel Croatia,42.57876108325477,18.212950229644775,Frankopanska 10,Gym
20741,Dolium Restaurant,42.58259314812104,18.21662658166278,,Mediterranean Restaurant
20742,Beach Ključice,42.58589160185768,18.215542551649772,,Beach
20743,Dive boat Aquarius,42.621722,18.204686,,Harbor / Marina
20744,Karlovacko,42.581828255305034,18.21838632824648,,Bar
20745,Slasticarnica Biondina,42.623304,18.193284,Sebreno,Ice Cream Shop
20746,Vila Rozic,42.584336,18.214081,,Hotel
20747,🏡берлога Мальки и Жоржа⛺,42.610788,18.2135,,Assisted Living
20748,Ručak,42.581994,18.216727,,Mediterranean Restaurant
20749,SPA Center,42.57844543457031,18.212764739990234,Hotel Croatia,Spa
20750,aquaglide,42.622735,18.199479,,Surf Spot
20751,H&M,42.624033486203544,18.192578529351746,Šetalište Franje Tuđmana 2a,Clothing Store
20752,Hotel Mlini,42.622197946776616,18.206565418119748,Šetalište Marka Marojice 34,Hotel
20753,old fkk beach of hotel astarea,42.61559,18.212622,,Nudist Beach
20754,Astarea Beach,42.62167030960404,18.208974740253424,,Beach
20755,Gradska Vrata Pile (Pile Gate) (Gradska Vrata Pile),42.64175272947602,18.106555205740733,Brsalje,Historic Site
20756,Résidence Pierre & Vacances Villas Mlini,42.6223,18.207,Setalište Marka Marojice 40,Resort
20757,Astarea Gym,42.621742411031974,18.20909057350465,,College Gym
20758,Swimming Pool Hotel Astarea,42.62189481143429,18.209026865211296,,Hotel Pool
20759,Hotel Astarea,42.62189107898469,18.209542278521013,Marka Marojice 40,Hotel
20760,Sheraton Dubrovnik Riviera Hotel,42.622866,18.19639,"Šetalište Dr. F. Tuđmana 17 - 20207, Srebreno",Hotel
20761,VK Gusari,42.62181701209876,18.204167697256565,Mlini,
20762,Villa Panorama,42.622079867073246,18.209884032400783,Pod Krizem 34,
20763,Lacroma,42.6078975,18.19643333333333,,
20764,Kupari beach,42.62242770011863,18.20138775352259,,Beach
20765,Villa Benich,42.623918937654516,18.203351086279447,,Building
20766,Puntizela Srebreno,42.62331152392647,18.201295089147482,,
20767,Caffe Bar Catamaran,42.62311732239024,18.197391626742203,,
20768,Mliniii,42.62177068126548,18.20691291538636,,
20769,Villa Carmen Mlini,42.623695004796964,18.202186984872164,Setaliste M. Marojice 18,
20770,Lira Apartments,42.6153450012207,18.215648651123047,,Bed & Breakfast
20771,Dubrovnic,42.621879578334635,18.209558069698897,,Other Great Outdoors
20772,Nemo2,42.623221,18.197383,,Bar
20773,gpoint,42.612117767333984,18.206205368041992,Šetalište Marka Marojice 21,Café
20774,Villa Gemma,42.624863,18.200965,,Hotel
20775,Апартаменты с видом на море,42.62290573120117,18.211910247802734,,Boarding House
20776,Villa Carmen Mlini Pool,42.62331608617544,18.20177578588493,Setaliste M. Marojice 18,Pool
20777,Apartement Zovko,42.616118448252855,18.217482803830194,,Boarding House
20778,Villa Barbara,42.62007461233188,18.212102252723394,,Hostel
20779,Dive Center Aquarius,42.62229522885968,18.205858841506885,,Beach
