,venue,lat,lon,address,category
81,kalkmarkt Suites,52.37274360591596,4.907363816162529,Kalkmarkt 5A,Residential Building (Apartment / Condo)
82,Elza's Fromagerie,52.37153759070166,4.909803497966656,Nieuwmarkt,Food Truck
83,StudioVanBart,52.37082413844693,4.879737496376038,Hazenstraat 4B,Music Store
84,Dokter,52.372691,4.907176,Kalkmarkt,Doctor's Office
85,Bed & Breakfast Le Maroxidien,52.374048,4.907506,Prins Hendrikkade 534,Bed & Breakfast
86,Hotel Bies Bies,52.37334550319746,4.906669793493848,Koningsstraat 40B,Resort
87,Vice NL,52.372513739814984,4.907799657477863,'s Gavenhekje 1a,Office
88,AMLAB,52.372463306445205,4.90783962602139,'s Gravenhekje 1,Office
89,Akvo Foundation,52.37239606078402,4.907955567711422,'s-Gravenhekje 1A,Auditorium
90,Makro Tankstation,52.37279826635117,4.906503567213321,De Flinesstraat 9,Gas Station
91,GyroHSR,52.37347334703353,4.910534955917916,Peperstraat 7,Office
92,Energeia B.V.,52.373254297850536,4.906575679779053,Prins Hendrikkade 149,Office
93,Boot541,52.37358474731445,4.907299518585205,,Boat or Ferry
94,Battleship Fiesta,52.371534,4.908351,Rapenburg 33,Design Studio
95,Shosho,52.371546,4.908357,Rapenburg 31,Office
96,NORM,52.37180709838867,4.908945083618164,Prins Hendrikkade 163,Office
97,Grafisch Centrum Ruparo,52.371993,4.907329,'s Gravenhekje 2,Paper / Office Supplies Store
98,Starting Point,52.371922,4.909785,Prins Hendrikkade 170-1,Office
99,Octopus Agents,52.37153615162097,4.908190471667879,Rapenburg 31-2,Office
100,Ulla Models,52.37184108064331,4.909146367444427,Prins Hendrikkade 163,Office
101,Zwarte CoffeeCompany Boot,52.372711,4.909546,,Boat or Ferry
102,Framewerk,52.372874,4.906612,Kalkmarkt 8,Office
103,Sulake,52.372196372060685,4.907914197376751,'s Gravenhekje 1a,Office
104,Ruyterhuis Tattoo Parlour,52.3728604404202,4.907097830347297,Kalkmarkt 1 hs,Art Gallery
105,Jachtservice Amsterdam Lelie,52.37169300624087,4.907190245241948,,Factory
106,Million Dollar Design,52.371947836476714,4.909565058545069,Prins Hendrikkade 167,Design Studio
107,E. D. Mij,52.37114143381152,4.908928535041079,Prins hendrikkade 164c,Office
108,Ruyterhuis,52.372834,4.907305,,Tattoo Parlor
109,Uppig,52.37294914994083,4.906710352581266,Prins Hendrikkade 147,Office
110,Refunk,52.371772,4.90971,170 Prins Hendrikkade,Office
111,Raffi en Co. BV,52.372356923021854,4.909172058105469,Prins Hendrikkade 162 A,Design Studio
112,Pedro,52.37306,4.907105,,Boat or Ferry
113,Adiuvantes,52.3731812051597,4.906111332506828,Onderzijde Achterburgwal 121a,Boutique
114,De Keuken van Classified Location,52.373258,4.906308,,Diner
115,Robert van der Horst,52.37363134593835,4.906690879387921,Prins Hendrikkade 143 / 1,Salon / Barbershop
116,Retaurant Hebt. Harting,52.37155532836914,4.907562255859375,,Restaurant
117,Blend Magazine,52.373485,4.906561,Prins Hendrikkade 142,Office
118,Friesland Boot,52.373359099561206,4.910588264465332,,Boat or Ferry
119,@Hand Communications,52.37175429611558,4.910105466842651,Prins Hendrikkade 176,Office
120,Yboulevard,52.372839,4.907376,,Hotel
121,GNR8 Amsterdam,52.373345999360986,4.9064040184021,prins hendrikkade 142,Coworking Space
122,Strongo Bold Giebelhaus,52.373400752705706,4.909985259885945,,Strip Club
123,Bambooboat,52.37413031030749,4.907009961518202,Prins Hendrikkade 520,Bed & Breakfast
124,Houseboat Neeltje,52.374108,4.907792,,Bed & Breakfast
125,Station Amsterdam Centraal,52.37878224866535,4.900374412536621,Stationsplein 15,Train Station
126,Kamer Van Koophandel,52.38243695662573,4.894731116320163,De Ruyterkade 5,Government Building
127,ProRail,52.382076,4.893534,Stationsplein 61-71,Office
128,VLTC,52.38222894107302,4.8935236443185355,De Ruyterkade 4,Government Building
129,Mobiele Seinzaal,52.38207335884179,4.892801876369874,,Building
130,VLTC Prorail,52.38194429092489,4.893334657929292,,Building
131,Sprinter Amsterdam-Zaandam,52.38130255697544,4.892993652777788,,
132,Amsterdam Marketing,52.3822815729671,4.894706831653748,,Office
133,MediaScience,52.381506,4.894926,,
134,Amsterdam Economic Board,52.38246523443086,4.894747815479836,Jodenbreestraat 25,Office
135,ED & F MAN,52.38187,4.89502,,Office
136,Osudio Amsterdam,52.38188576980339,4.895269419527828,,Building
137,Sir Winston,52.381612,4.894588,Ruyterkade,
138,UWV 22 en 23ste etage,52.381668542203094,4.8929514269115515,La guardia,Government Building
139,De Pyramiden,52.38088759367249,4.8925355995119455,,
140,Railverkeersleiding,52.38262651668653,4.893277578503946,,Coworking Space
141,rahgoli,52.382092,4.892001,,Indian Restaurant
142,Classic Thai Cuisine,52.381901,4.893699,,Thai Restaurant
143,Italian Restaurant & Pizzeria San Thommaso,52.381027,4.894357,,Pizza Place
144,Noodpost VLTC,52.38210626677707,4.892574701607511,,Building
145,Atcb,52.38225304444444,4.894704,Ruyterkade 6,Office
146,Italiaanse Kamer van Koophandel voor Nederland,52.38235801885472,4.894838333129883,De Ruyterkade 5,Office
147,Euro-ix 20,52.38230350969104,4.89471684155256,,Fair
148,Sugoi Sushi,52.38115275460151,4.893196802778736,,Sushi Restaurant
149,Amsterdam Tourist Board,52.38241024143648,4.894723568557472,De Ruyterkade 5,Office
150,Syntens,52.38244511912439,4.894567814326226,De Ruyterkade 5,Office
151,Dolk Hesper,52.382457,4.894505,De Ruijterkade 5,Office
152,lagguage storage,52.38146629562712,4.893304950527354,,Platform
153,Biitterzoet,52.38168,4.892205,,Rock Club
154,Dasia sport,52.38130045541774,4.892232090546674,Haarlemmerstraat 129,Bike Shop
155,Pesca - Theatre of Fish,52.372760024800314,4.878802660503881,Rozengracht 133,Seafood Restaurant
156,Chin Chin Club,52.37281934760742,4.878791295611333,Rozengracht 133,Asian Restaurant
157,Boom Chicago,52.372952530743824,4.8789028550356734,Rozengracht 117,Comedy Club
158,Rozentheater,52.372925920417075,4.878923551791205,Rozengracht 117,Theater
159,Hikage,52.372176,4.878957,,Japanese Restaurant
160,Shoarma Mesut 2,52.372775915049836,4.878162322683034,Rozengracht 164,Turkish Restaurant
161,Salmuera,52.37326093062148,4.879471931545098,Rozengracht 106,Latin American Restaurant
162,Urban Cacao,52.372719,4.877278,Rozengracht 200,Chocolate Shop
163,Cannibale Royale,52.373149,4.87902,Rozengracht 114,Burger Joint
164,Effendy,52.373055,4.878654,,Bakery
165,Bar117,52.37290687679288,4.8789989870211254,Rozengracht 117,Other Nightlife
166,24/7 Burgerhouse,52.373073,4.87878,Rozengracht 144,Burger Joint
167,Amstel Bike,52.373031593389626,4.8786672949790955,Rozengracht 146,Bike Rental / Bike Share
168,Cook Kai,52.372688785218216,4.878566711195593,Tweede Rozendwarsstraat 3 HS,Thai Restaurant
169,Mercan Pastahanesi,52.37290273511093,4.87862639531916,Rozengracht 148,Bakery
170,Dijkman Muziek,52.37294520107646,4.879172250318564,Rozengracht 107,Music Store
171,Super Roos Markt,52.372793,4.878632,Rozengracht,Supermarket
172,Fietsenmakerij Freewheel Ako,52.37316705218818,4.878220430836054,,Bike Shop
173,Meijer IJzerwaren,52.37324394274392,4.878863319919636,Rozengracht,Hardware Store
174,Vogue Akademie,52.372756995733646,4.878741909850434,Rozengracht 133,Coworking Space
175,Mr. K,52.371858184624486,4.879067952411299,Tweede Laurierdwarstraat 44C,Marijuana Dispensary
176,P&T Exclusive,52.37314210858073,4.878223357141062,Akoleienstraat 8,Salon / Barbershop
177,Canal Amsterdam,52.37327538936894,4.87831118379047,,
178,Domino's Pizza,52.37291580101331,4.878000828462746,Rozengracht 166,Pizza Place
179,Flower Power,52.37280085638972,4.878509045481624,Rozengracht 139,Coffee Shop
180,Grillroom Shoarma Hilal,52.37288529723471,4.8785108255628415,Rozengracht 154,Snack Place
181,TonTon,52.372869,4.878551,Rozengracht 137HS,Turkish Restaurant
182,Bakkerij Visser,52.373296089944034,4.880025827157053,Rozengracht 80,Bakery
183,Pasta Panini,52.373333919131724,4.879953698695239,,Deli / Bodega
184,Dioniry Nails & Beauty,52.372332,4.87699,Rozengracht 189,Nail Salon
185,Trends 4 Trends,52.372922,4.878754,,Salon / Barbershop
186,Health Club Jordaan,52.37296939410233,4.880215040534359,Eerste Rozendwarsstraat 10,Gym / Fitness Center
187,Bbrood,52.372636,4.877529,Rozengracht 180-182,Bakery
188,Has Mercan Patisserie,52.372948,4.8785224,,Turkish Restaurant
189,K/C Move Studio,52.373071,4.880148,,Pilates Studio
190,Brood,52.372746,4.877797,,Bakery
191,Antiek Tattoo,52.37273144971945,4.87773008861552,Rozengracht 184,Tattoo Parlor
192,Homesick Records,52.37219,4.8786893,Tweede Rozendwarsstraat 24,Record Shop
193,Bienvenue,52.373232,4.879734,,Halal Restaurant
194,Club Underground,52.37293022655603,4.87893825542343,Rozengracht 133,Nightclub
195,Coffeeshop Sanementereng,52.37179342015445,4.87915665825368,Tweede Laurier Dwarsstraat 40,Coffee Shop
196,Games Workshop,52.373252087987616,4.879851160198382,Rozengracht 99,Hobby Shop
197,Back-Stage,52.3731175914411,4.879656010054416,Rozengracht 101-103,Cosmetics Shop
198,Just Wellness,52.373285,4.879893,Rozengracht,Spa
199,Murugan,52.372654806397,4.87776717582733,Rozengracht 192,Dutch Restaurant
200,Représen|table,52.372991,4.878179,,Kitchen Supply Store
201,De Bio Specialist,52.373231497966735,4.88022368710027,Rozengracht 91,Health Food Store
202,Kleding Reparatie Stomerij,52.37247166556649,4.877347683668544,Rozengracht,Laundry Service
203,Tram 13 Centraal Station - Geuzenveld,52.37323205008214,4.8799578763906215,,Moving Target
204,Kirchhoff Fysio,52.37284447774535,4.87975324820736,,Spa
205,Fatih Camii,52.37325168008255,4.878575761776612,Rozengracht 150,Mosque
206,The Love Mansion,52.372029,4.878369,,Performing Arts Venue
207,Equal Yoga,52.372486311264126,4.877573260441148,Rozengracht 191-193,Yoga Studio
208,AMSTERDAM CITY  B & B,52.372983787552634,4.877261538774534,Da Costakade 68HS,Bed & Breakfast
209,styletracker,52.37372,4.879095,,Advertising Agency
210,Superfood Centre,52.373018,4.880344,1e Rozendwarsstraat 10,Vegetarian / Vegan Restaurant
211,Cafetaria Family,52.37319,4.879823,,Snack Place
212,Arriba Arriba,52.37322,4.87933,Rozengracht 114,Mexican Restaurant
213,Club More Amor,52.372789947716264,4.878982365546335,Rozengracht 133/A,
214,mercanpatisserie,52.37283289404539,4.879381369950167,rozengracht,
215,Struik,52.37286773863699,4.878398194890283,Rozengracht 160,Café
216,Capezio,52.37301556286506,4.878509077803036,Rozengracht 162,Shoe Store
217,Roos Markt,52.37297680182941,4.878693548507416,,Grocery Store
218,Hip Wonen,52.372804,4.87838,Rozengracht 145,Furniture / Home Store
219,Turkse Pizza & Ayran,52.37265,4.878102,,Restaurant
220,Estrima Biro,52.372808,4.87823,,Automotive Shop
221,Fraaiwerk,52.373557,4.87848,,Office
222,Galerie Fons Welters,52.373633,4.878876,Bloemstraat 140,Art Gallery
223,19th-21st Century European Fine Arts,52.37364,4.878838,Eerste Bloemdwarsstraat 19,
224,Carlos,52.373243336578135,4.879619235373745,Rozengracht 104,Men's Store
225,44c,52.371741,4.879151,Tweede laurierdwarsstraat,
226,Van hier tot Tokio,52.372631,4.877531,Rozengracht 184,Antique Shop
227,Mercan DÃ¶ner,52.373011,4.87893,Rozengracht 144,
228,Trek Barefoot De,52.372857,4.878079,Rozengracht 166,
229,party house,52.373219,4.879613,Rozengracht 92,Costume Shop
230,Amsterdam Rozenstraat 145,52.37226867675781,4.878854751586914,,Residential Building (Apartment / Condo)
231,Massage EXSTRESS,52.371946,4.878872,2e Laurierdwarsstraat 3,
232,Radar Architecture & Art,52.37267622007285,4.8799759662838715,Rozengracht 77a,
233,Inditex,52.373601,4.87876,,Business Center
234,Performance Health Chiropractic,52.372838,4.879745,Eerste Rozendwarsstraat 10,Chiropractor
235,Van Overbeek Makelaars,52.373489,4.879802,Rozengracht 93A,Office
236,Casa De Sheamus,52.373091,4.878269,,College Science Building
237,SRM Workshop Grafische Technieken en Drukwerkbegeleiding,52.372464,4.8795395,Marnixstraat 317,College Communications Building
238,Bâtard,52.37274011085439,4.878326654434204,Rozengracht 141,Wine Shop
239,La Maison - Amsterdam hair & skin,52.37297973546783,4.877469049139006,,Spa
240,E-Blow,52.371716,4.878909,168 Laurierstraat,Vape Store
241,Nordic New,52.372677077668826,4.877532328271533,Rozengracht 196,Design Studio
242,Make-up studio,52.372372161747876,4.8773092456572495,Rozengracht 101,Cosmetics Shop
243,Cafetaria Eethuis,52.37328,4.8796535,,Snack Place
244,BEN DE BOEF TATTOOS,52.372087,4.879073,Tweede Lauriersdwarsstraat 1-3,Tattoo Parlor
245,My Little Courtyard,52.37341144786869,4.8778902855303246,,Garden
246,Megazino,52.372428975688614,4.877586364746094,Rozengracht 207-213,Clothing Store
247,Strips Wax Industry,52.37252,4.8774977,,Health & Beauty Service
248,The Coffeevine,52.372456,4.877276,,Coffee Shop
249,Parking Bloemstraat 170,52.3733903494052,4.8779126408501785,,Parking
250,Trek Barefoot De,52.3775245,4.8816044,2e Anjeliersdwarsstraat 22 1H,Shoe Store
251,Landgraphics,52.37225383862739,4.877493204657938,,Building
252,Sanementereng,52.37215394241657,4.877672807261765,2e Laurierdwarsstraat 44,Coffee Shop
253,Nepal Tobacco Magazines Newspapers,52.372867584228516,4.878448963165283,,Convenience Store
254,The Outsiders,52.372764587402344,4.879763126373291,Rozengracht 101,Tech Startup
255,Atelier Hans Verwoerd,52.37306,4.880472,,Art Gallery
256,Family Snackbar,52.373181,4.879743,Rozengracht 90,Snack Place
257,Performance Health,52.37209869392027,4.878835430313139,2de Rozendwarsstraat 24,Medical Center
258,Rijpenhofje,52.373267398077964,4.879345893859863,Rozengracht 116,Garden
259,De Kasstoor,52.372586,4.87748,Rozengracht 210,Design Studio
260,Provision Events & Management,52.372232,4.878294,Rozenstraat 158hs,Office
261,Flare Innovations,52.372268,4.877661,Rozenstraat 206,Building
262,Rozenhofje,52.373138,4.878772,Rozengracht 147-181,Garden
263,Toertocht,52.373565,4.879619,,Other Great Outdoors
264,Wonen 2000,52.372611,4.877427,,Furniture / Home Store
265,Eigen Haard,52.373114,4.880219,Rozengracht 99,Building
266,Bettiena Drukker Fotographie,52.372039,4.879086,,Art Gallery
267,spinning area,52.372895,4.880275,,Gym / Fitness Center
268,Japie's,52.372032,4.879017,Tweede laurierdwars 12,Bar
269,Yoga Garden,52.37292220924711,4.88006305377917,Eerste Rozendwarsstraat 10,Yoga Studio
270,Hoope HQ,52.371835,4.879633,,Event Space
271,pheuten ziekenboeg,52.37277774172498,4.87808770623184,,Dog Run
272,rosenstraat 183,52.3720588684082,4.878037929534912,,Residential Building (Apartment / Condo)
273,Bascommunicatie,52.37317,4.880358,,Residential Building (Apartment / Condo)
274,Cas' Café,52.37192153930664,4.879186630249023,,Café
275,De Bloeikas,52.373764,4.87919,Bloemstraat 130,Event Space
276,Bayan BnB,52.373280488373645,4.879629327441952,Rozengracht 90,Bed & Breakfast
277,Foam,52.363984,4.893353,Keizersgracht 609,Art Museum
278,Museum Van Loon,52.36361094793346,4.893333728414666,Keizersgracht 672,Museum
279,Foam-Café,52.3639081538959,4.89327502329079,Keizersgracht 609,Café
280,Foundation For Public Code,52.363884,4.8939104,Keizersgracht 617,Government Building
281,Foam Lab,52.36390543696959,4.893302687905312,Keizersgracht 609,Arcade
282,Adyen,52.3639623041932,4.893855544034348,617 Keizersgracht,Office
283,Hackers & Founders,52.36460057399243,4.893461791474793,Herengracht 504,Coworking Space
284,Independent Outlet Skateboards Amsterdam,52.36448477126222,4.892613071061886,Vijzelstraat 77,Clothing Store
285,Stadsarchief - De Bazel,52.364344008281364,4.892151602023418,Vijzelstraat 32,Library
286,Azijnman Opticiens,52.36391054,4.89229007,Vijzelstraat 81,Optical Shop
287,Foam Next Door,52.36386,4.893955,Keizersgracht 617,Art Museum
288,Koetshuis Van Loon,52.362885,4.893185,Kerkstraat 259,History Museum
289,Werelderfgoed Podium,52.36441802509747,4.892468465278226,Vijzelstraat 32,History Museum
290,Winederlust Kerk van Wijn,52.36275706548958,4.893301172312471,Kerkstraat 261-2,Wine Bar
291,Hypotheekvisie vijzelstraat,52.363885497629525,4.892466866378693,Vijzelstraat 79,Office
292,Huddle - Attorneys At Law,52.36328,4.8919907,,Financial or Legal Service
293,Woodie's,52.364282874084644,4.89363569123526,,
294,Open Tuinen Dagen,52.36388302520232,4.893486004679227,"Herengracht, Keizersgracht, Prinsengracht",Garden
295,Join the Pipe Foundation - Nieuwe Waalse Kerk,52.363349414005306,4.893615245819092,Keizersgracht 676,Non-Profit
296,STX Commodities Trading Desk,52.364138,4.892859,Vijzelstraat 79,Business Center
297,Parcls,52.362998,4.892237,105 Vijzelstraat,Post Office
298,Petit By Sam,52.363343,4.892139,,Coffee Shop
299,Booking.com,52.36414003633661,4.89248931513588,Vijzelstraat,Office
300,Priwet Russische Supermarkt,52.363464397464924,4.892166003950322,Vijzelstraat 87,Grocery Store
301,The Playing Circle | Atelier de Bazel,52.36443,4.893054,Vijzelstraat 927,French Restaurant
302,Ambtswoning burgemeester - Deutzhuis - Huis met de Kolommen,52.364757982012826,4.893379211425781,Herengracht 502,Monument / Landmark
303,Storyboard agency,52.362778,4.892832,257 Kerkstraat,Office
304,Amberscript,52.363477,4.89291,,Business Service
305,Edessa Stomerij en Kledingreparatie,52.363163718992396,4.891893809729972,Vijzelstraat 99,Laundry Service
306,Herengracht 520,52.364679365446854,4.8947471380233765,Herengracht 520,Monument / Landmark
307,Bagels Café,52.364586,4.8926888,,Bagel Shop
308,La Pureté Coffee company,52.36461240000001,4.8928126,Vijzelstraat 71HS,Coffee Shop
309,Dream Hotel,52.36460393849043,4.89264826399019,Vijzelstraat 73,Hotel
310,Vijzelstraat 71,52.364704004858126,4.892776372677836,,Housing Development
311,Vijzel Vintage,52.36326380945059,4.8920739757335445,Vijzelstraat 83,Antique Shop
312,Spaces Roof Lounge,52.36366313798337,4.89211871620394,,Event Space
313,Viasat,52.363158,4.892023,Vijzelstraat 68-78,Office
314,Broadstreet,52.364841,4.893288,Herengracht 500,Office
315,Theodoor Gilissen,52.36395686196607,4.893777767469517,,Office
316,Ice Bakery by Nutella,52.36706555717341,4.89257920215672,Rokin 134,Dessert Shop
317,Panic Room,52.364965842422116,4.893556144123106,,Speakeasy
318,180 Smoking Table,52.364873,4.893538,herengracht 506,Garden
319,Cindy's,52.363347654997746,4.892135565352435,Vijzelstraat 93,Bakery
320,thonik,52.363457,4.892212,Vijzelstraat 72 / 4.52,Office
321,Pesto Presto,52.363433100883675,4.892170075018377,Vijzelstraat 89,Sandwich Place
322,Swirl @ De Munt,52.3640568770505,4.893915521198485,Vijzelstraat 15,Dessert Shop
323,Payvision,52.36722457973962,4.883734649809497,,Office
324,D/dock,52.36361,4.89238,,Office
325,AppSignal,52.364882,4.893559,,Tech Startup
326,Brug 30,52.36160956081954,4.89150884476099,Vijzelstraat,Bridge
327,Czar.nl,52.363387,4.893683,keizersgracht 676,
328,De roze wolk rondom bart,52.3643345,4.8936977,,Other Nightlife
329,Sonny Crockett,52.36379173233547,4.893193720157445,amstel,Boat or Ferry
330,La Purete,52.36467665227442,4.892612232377789,Vijzelstraat 71H,Café
331,Geelvinck Hinlopen Huis,52.36428975707281,4.894478005973127,Keizersgracht 633,Museum
332,Apollo Media,52.362885,4.893043,Vijzelstraat 72,
333,czar,52.363390047667416,4.893770358893988,Herengracht 568,
334,ACE / minor ondernemerschap,52.36330877019431,4.891961513681172,Vijzelstraat 72,College Academic Building
335,Paddestoelen Paradijs (Urban Fungal Cultivation Laboratory),52.36445493405176,4.892751736973353,"Vijzelstraat 68, 1017 Amsterdam",Science Museum
336,Voltra Co.,52.363245,4.892005,Vijzelstraat 68,Tech Startup
337,ABN AMRO,52.36378021,4.892552,Vijzelstraat,Bank
338,Hab 734 Nh Carlton!Ámsterdam,52.363903,4.8947196,Keizersgracht 637F,Ski Lodge
339,Wundershift HQs,52.363590240478516,4.892014503479004,,Advertising Agency
340,Het Kermisbed,52.362954,4.894054,,Fair
341,Comrad,52.363599,4.893871,,Office
342,Me Gusta,52.363681,4.892191,Vijzelstraat 66,Restaurant
343,Soprano,52.363313,4.892172,vijzelstraat 97,
344,Al Bacaro,52.36331756498229,4.892117290194552,Vijzelstraat 97,Italian Restaurant
345,Theo's,52.363886,4.892466,Keizersgracht,Professional & Other Places
346,180 Garden Room,52.364571,4.893696,,Conference Room
347,Hanro,52.364742,4.892839,,Boutique
348,Mdra,52.36458109271069,4.8925989695287555,,Government Building
349,Consolato Generale Italiano Di Amsterdam,52.364418145675984,4.8925447765618255,Vijzelstraat,Government Building
350,8cht Sneakers & Shirts,52.363144,4.892041,Vijzelstraat 105,Shoe Store
351,Consolato Generale d'Italia,52.3642449407701,4.89228654648486,Vijzelstraat 79,Government Building
352,laatstore,52.36431121826172,4.893498420715332,,Boutique
353,Tandartspraktijk Lim,52.363554,4.894825,Keizersgracht,Dentist's Office
354,Dr-i http://dr-i.nl/contact-us,52.364372285890596,4.892860324639559,Kerkstraat 286-sous,Recycling Facility
355,Bookkng.com Vijzel Terrace,52.364251,4.892868,,Corporate Coffee Shop
356,Rohe advocaten,52.36448022492345,4.894280254556264,Nieuwe Herengracht 49,Lawyer
