,venue,lat,lon,address,category
21330,Trying To Sleep. Back,33.94938308288817,35.52541476143223,,Sports Bar
21331,HSBC,33.971187631183284,35.60934176953099,,Bank
21332,the middle of the sea,33.94582807995614,35.55912000507433,,Surf Spot
21333,mcdonald's leMall,33.96132549367176,35.59035936430848,,Fast Food Restaurant
21334,Terroirs & Selection,33.975876,35.609238,,French Restaurant
21335,Bachir®,33.97682879040386,35.49152434566955,Ein El Mreisseh,Ice Cream Shop
21336,Nature By Marc,33.974608,35.610994,Seaside Road,Flower Shop
21337,LibanPost,33.984072525389934,35.54546000937171,,Post Office
21338,Institut Rana,33.97617590108771,35.61169155918916,Samaya,Nail Salon
21339,Chopsticks Express,33.9696384029885,35.60876024527721,Kaslik,Chinese Restaurant
